"Team Number","Drive Train","Semi-Auto or Auto","Robot Comments"
"58","6 wheel west coast","Auto to line up",""
"61","","",""
"78","West coast","Semi",""
"88","","",""
"95","","","Camera"
"125","6 wheel cosen","Semi auto",""
"126","West coast","Semi auto",""
"138","8 wheels, 2 omni in front","Auto",""
"155","","",""
"157","Mechanam","Semi auto",""
"172","6 wheel, West coast","Semi auto, 2 cameras",""
"190","6 wheel west coast","Semi auto",""
"1100","6 wheel Tank","Semi",""
"1289","","",""
"1735","8 wheel west coast drive","Semi-Auto with some auto",""
"1786","Tank drive","Semi-Auto ",""
"1965","Mechanim 4-wheel","Semi-Auto ",""
"2079","Mechanim 4-wheel","Semi-Auto ",""
"2262","Mechanim 4-wheel","Semi-Auto ",""
"2713","Mechanim 4-wheel","Semi-Auto ",""
"2785","Mechanim 4-wheel","Semi-Auto ",""
"2876","Mechanim 4-wheel","Semi-Auto ",""
"2877","Mechanim 4-wheel","Semi-Auto ",""
"3205","Mechanim 4-wheel","Semi-Auto ",""
"3323","6 wheel west coast","Semi-Auto ",""
"3623","West coast","Semi-Auto ",""
"4048","swerve","semi auto",""
"4796","omni h, can switch to tank","semi auto",""
"4908","","",""
"4987","","",""
"5422","mechanum","semi auto",""
"5459","tank","semi auto",""
"5491","mechanum","semi auto",""
"5813","west coast","semi auto",""
"6328","","",""
"6620","tank","semi auto",""
"6731","tank","semi auto",""
"7266","tank","semi auto",""
"7438","tank","full auto (can switch)",""
