"Team Number","Alliance Color","Start Position","Start Level","Crossed Line","Auto Hatch To Ship Success","Auto Hatch To Ship Failed","Auto Cargo To Ship Success","Auto Cargo To Ship Failed","Auto Hatch To Rocket Success","Auto Hatch To Rocket Failed","Auto Cargo To Rocket Success","Auto Cargo To Rocket Failed","Teleop Hatch To Ship Success","Teleop Hatch To Ship Failed","Teleop Cargo To Ship Success","Teleop Cargo To Ship Failed","Teleop Rocket L1 Hatch Success","Teleop Rocket L1 Hatch Failed","Teleop Rocket L2 Hatch Success","Teleop Rocket L2 Hatch Failed","Teleop Rocket L3 Hatch Success","Teleop Rocket L3 Hatch Failed","Teleop Rocket L1 Cargo Success","Teleop Rocket L1 Cargo Failed","Teleop Rocket L2 Cargo Success","Teleop Rocket L2 Cargo Failed","Teleop Rocket L3 Cargo Success","Teleop Rocket L3 Cargo Failed","Climb Level Attempted","Climb Level Achieved","Lifted Others Attempted Level","Lifted Others Achieved Level","Driver Rating","Hatch Collection Efficiency","Hatch Delivery Efficiency","Cargo Collection Efficiency","Cargo Delivery Efficiency","How Did They Defend","How Were They Against Defense","Won The Match","Disabled Or Fell","Match Comments"
"155","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"176","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"178","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"181","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"195","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"228","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"230","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"571","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"839","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"1027","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
