"Team Number","Alliance Color","Start Position","Start Level","Crossed Line","Auto Hatch To Ship Success","Auto Hatch To Ship Failed","Auto Cargo To Ship Success","Auto Cargo To Ship Failed","Auto Hatch To Rocket Success","Auto Hatch To Rocket Failed","Auto Cargo To Rocket Success","Auto Cargo To Rocket Failed","Teleop Hatch To Ship Success","Teleop Hatch To Ship Failed","Teleop Cargo To Ship Success","Teleop Cargo To Ship Failed","Teleop Rocket L1 Hatch Success","Teleop Rocket L1 Hatch Failed","Teleop Rocket L2 Hatch Success","Teleop Rocket L2 Hatch Failed","Teleop Rocket L3 Hatch Success","Teleop Rocket L3 Hatch Failed","Teleop Rocket L1 Cargo Success","Teleop Rocket L1 Cargo Failed","Teleop Rocket L2 Cargo Success","Teleop Rocket L2 Cargo Failed","Teleop Rocket L3 Cargo Success","Teleop Rocket L3 Cargo Failed","Climb Level Attempted","Climb Level Achieved","Lifted Others Attempted Level","Lifted Others Achieved Level","Driver Rating","Hatch Collection Efficiency","Hatch Delivery Efficiency","Cargo Collection Efficiency","Cargo Delivery Efficiency","How Did They Defend","How Were They Against Defense","Won The Match","Disabled Or Fell","Drive Train","Semi-Auto or Auto","Match Comments","Robot Comments"
"155","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","west coast 8 wheel","semi-auto ","",""
"176","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6 wheel tanker ","semi-auto","",""
"178","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","",""
"181","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","tank drive with omni on the front ","semi-auto ","",""
"195","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6 wheel tank","semi-auto ","",""
"228","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","h drive","semi-auto ","",""
"230","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Mechanum wheels","Auto","",""
"571","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","West coast","Auto, but can do both","",""
"839","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6 wheel drive","Camera operated","",""
"1027","Red - 0.0%
Blue - 0.0%","Left - 0.0%
Center - 0.0%
Right - 0.0%","Level 1 - 0.0%
Level 2 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level 1 - 0.0%
Level 2 - 0.0%
Level 3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","None - 0.0%
Level2 - 0.0%
Level3 - 0.0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","West coast","Semi","",""
